,0
314,2
315,3
316,9
317,1
318,2
319,1
320,9
321,2
322,2
323,3
324,3
325,1
326,1
327,6
328,4
329,6
330,8
331,1
332,8
333,7
334,3
335,4
336,1
337,1
338,4
339,6
340,4
341,0
342,2
343,1
344,9
345,3
346,1
347,1
348,4
349,1
350,6
351,9
352,9
353,5
354,5
355,9
356,9
357,2
358,3
359,1
360,6
361,8
362,8
363,4
364,8
365,1
366,2
367,1
368,7
369,9
370,8
371,8
372,5
373,8
374,8
375,5
376,1
377,4
378,6
379,9
380,4
381,0
382,2
383,5
384,2
385,3
386,5
387,9
388,9
389,1
390,9
391,2
392,4
393,7
394,7
395,1
396,7
397,7
398,6
399,1
400,3
401,2
402,5
403,9
404,4
405,0
406,6
407,5
408,7
409,0
410,8
411,5
412,6
413,9
414,0
415,7
416,6
417,8
418,9
419,6
420,9
421,6
422,7
423,6
424,1
425,3
426,9
427,8
428,2
429,1
430,9
431,3
432,0
433,0
434,4
435,5
436,0
437,9
438,1
439,6
440,7
441,3
442,3
443,0
444,1
445,4
446,6
447,9
448,8
449,0
450,7
451,1
452,7
453,5
454,7
455,0
456,4
457,2
458,2
459,9
460,1
461,7
462,2
463,3
464,6
465,4
466,0
467,9
468,8
469,6
470,3
471,3
472,4
473,8
474,5
475,7
476,4
477,1
478,4
479,7
480,1
481,3
482,0
483,1
484,7
485,3
486,0
487,1
488,5
489,1
490,9
491,0
492,4
493,1
494,9
495,4
496,0
497,8
498,1
499,7
500,1
501,4
502,5
503,9
504,2
505,6
506,0
507,0
508,9
509,5
510,4
511,2
512,1
513,9
514,1
515,2
516,7
517,7
518,7
519,4
520,2
521,1
522,6
523,5
524,6
525,9
526,4
527,0
528,9
529,2
530,1
531,1
532,9
533,7
534,8
535,8
536,7
537,6
538,6
539,9
540,4
541,6
542,7
543,1
544,2
545,9
546,6
547,4
548,9
549,0
550,5
551,1
552,5
553,2
554,7
555,5
556,9
557,3
558,7
559,1
560,1
561,3
562,3
563,3
564,2
565,1
566,2
567,1
568,2
569,4
570,5
571,0
572,8
573,6
574,9
575,8
576,6
577,2
578,3
579,0
580,9
581,0
582,0
583,7
584,1
585,5
586,0
587,7
588,2
589,8
590,0
591,6
592,4
593,4
594,0
595,1
596,3
597,5
598,9
599,0
600,2
601,8
602,0
603,9
604,8
605,3
606,7
607,9
608,8
609,4
610,2
611,6
612,8
613,7
614,7
615,3
616,0
617,0
618,2
619,3
620,6
621,6
622,0
623,3
624,3
625,6
626,4
627,6
628,2
629,2
630,9
631,3
632,2
633,1
634,7
635,9
636,6
637,0
638,9
639,9
640,7
641,9
642,5
643,1
644,0
645,9
646,2
647,1
648,9
649,6
650,5
651,1
652,7
653,5
654,0
655,2
656,2
657,4
658,7
659,6
660,7
661,7
662,3
663,8
664,5
665,4
666,2
667,4
668,4
669,2
670,9
671,2
672,3
673,7
674,0
675,1
676,2
677,4
678,3
679,6
680,3
681,6
682,0
683,8
684,9
685,6
686,8
687,3
688,7
689,0
690,6
691,4
692,1
693,2
694,6
695,1
696,8
697,6
698,3
699,9
700,1
701,8
702,9
703,2
704,6
705,9
706,3
707,2
708,8
709,5
710,1
711,7
712,1
713,6
714,1
715,4
716,6
717,1
718,1
719,5
720,3
721,8
722,4
723,9
724,2
725,9
726,8
727,5
728,8
729,2
730,3
731,8
732,7
733,0
734,1
735,1
736,2
737,3
738,0
739,2
740,6
741,5
742,1
743,4
744,3
745,0
746,4
747,3
748,9
749,7
750,8
751,8
752,3
753,7
754,2
755,8
756,5
757,1
758,9
759,0
760,6
761,3
762,6
763,7
764,1
765,2
766,0
767,4
768,1
769,4
770,6
771,5
772,5
773,5
774,2
775,5
776,3
777,1
778,8
779,0
780,1
781,3
782,0
783,0
784,9
785,9
786,2
787,5
788,0
789,2
790,6
791,6
792,2
793,0
794,6
795,1
796,5
797,9
798,9
799,0
800,1
801,3
802,2
803,8
804,7
805,8
806,9
807,7
808,5
809,8
810,6
811,2
812,6
813,4
814,7
815,4
816,0
817,4
818,6
819,9
820,1
821,0
822,0
823,8
824,7
825,4
826,7
827,0
828,5
829,8
830,4
831,2
832,1
833,9
834,3
835,9
836,5
837,2
838,0
839,9
840,1
841,2
842,0
843,2
844,5
845,5
846,1
847,3
848,1
849,0
850,3
851,7
852,4
853,6
854,5
855,9
856,4
857,8
858,1
859,3
860,0
861,7
862,8
863,8
864,5
865,0
866,0
867,7
868,4
869,5
870,5
871,3
872,8
873,8
874,2
875,5
876,4
877,2
878,8
879,9
880,5
881,5
882,6
883,4
884,5
885,6
886,4
887,9
888,8
889,6
890,2
891,6
892,1
893,1
894,0
895,4
896,2
897,1
898,8
899,3
900,1
901,4
902,4
903,8
904,5
905,9
906,8
907,0
908,8
909,0
910,7
911,8
912,5
913,0
914,3
915,4
916,2
917,7
918,3
919,0
920,5
921,3
922,2
923,7
924,7
925,9
926,8
927,6
928,6
929,5
930,1
931,6
932,7
933,4
934,0
935,3
936,8
937,9
938,4
939,5
940,1
941,8
942,7
943,6
944,2
945,5
946,9
947,9
948,3
949,7
950,0
951,7
952,9
953,2
954,2
955,8
956,5
957,8
958,7
959,4
960,7
961,2
962,1
963,2
964,7
965,5
966,6
967,5
968,8
969,9
970,9
971,4
972,4
973,6
974,5
975,9
976,2
977,6
978,8
979,3
980,2
981,8
982,2
983,2
984,2
985,4
986,0
987,9
988,7
989,9
990,4
991,0
992,6
993,1
994,4
995,5
996,1
997,4
998,0
999,1
1000,6
1001,1
1002,3
1003,9
1004,6
1005,4
1006,5
1007,2
1008,4
1009,2
1010,4
1011,7
1012,2
1013,9
1014,1
1015,5
1016,8
1017,1
1018,7
1019,9
1020,5
1021,7
1022,8
1023,2
1024,8
1025,1
1026,5
1027,0
1028,3
1029,7
1030,4
1031,7
1032,9
1033,4
1034,9
1035,3
1036,0
1037,7
1038,8
1039,8
1040,5
1041,8
1042,3
1043,7
1044,7
1045,3
1046,4
1047,0
1048,8
1049,7
1050,9
1051,1
1052,6
1053,5
1054,1
1055,4
1056,0
1057,5
1058,2
1059,3
1060,9
1061,1
1062,1
1063,9
1064,9
1065,7
1066,1
1067,5
1068,1
1069,9
1070,5
1071,3
1072,6
1073,9
1074,1
1075,6
1076,0
1077,9
1078,1
1079,1
1080,7
1081,3
1082,2
1083,8
1084,3
1085,3
1086,8
1087,9
1088,4
1089,1
1090,2
1091,1
1092,8
1093,4
1094,2
1095,9
1096,4
1097,0
1098,7
1099,9
1100,0
1101,0
1102,2
1103,6
1104,2
1105,9
1106,5
1107,9
1108,8
1109,7
1110,8
1111,9
1112,1
1113,1
1114,8
1115,4
1116,5
1117,8
1118,5
1119,2
1120,2
1121,8
1122,1
1123,1
1124,6
1125,5
1126,7
1127,4
1128,6
1129,9
1130,7
1131,6
1132,0
1133,7
1134,6
1135,0
1136,6
1137,2
1138,1
1139,5
1140,5
1141,7
1142,6
1143,1
1144,0
1145,5
1146,1
1147,2
1148,8
1149,3
1150,3
1151,4
1152,0
1153,0
1154,5
1155,7
1156,3
1157,0
1158,2
1159,5
1160,0
1161,6
1162,3
1163,0
1164,4
1165,1
1166,2
1167,3
1168,5
1169,2
1170,8
1171,8
1172,4
1173,3
1174,0
1175,5
1176,9
1177,3
1178,8
1179,2
1180,9
1181,7
1182,2
1183,4
1184,0
1185,7
1186,8
1187,8
1188,8
1189,0
1190,1
1191,2
1192,1
1193,6
1194,9
1195,4
1196,3
1197,8
1198,4
1199,3
1200,9
1201,2
1202,6
1203,5
1204,7
1205,5
1206,8
1207,8
1208,8
1209,9
1210,1
1211,1
1212,8
1213,6
1214,7
1215,4
1216,6
1217,8
1218,3
1219,3
1220,7
1221,3
1222,7
1223,2
1224,2
1225,9
1226,0
1227,3
1228,7
1229,0
1230,7
1231,7
1232,7
1233,9
1234,2
1235,1
1236,3
1237,9
1238,5
1239,1
1240,0
1241,5
1242,5
1243,7
1244,3
1245,2
1246,8
1247,1
1248,8
1249,2
1250,0
1251,4
1252,8
1253,4
1254,4
1255,3
1256,7
1257,9
1258,7
1259,6
1260,5
1261,4
1262,0
1263,8
1264,9
1265,4
1266,5
1267,0
1268,8
1269,6
1270,3
1271,5
1272,0
1273,5
1274,6
1275,8
1276,4
1277,1
1278,1
1279,2
1280,3
1281,7
1282,7
1283,1
1284,7
1285,3
1286,2
1287,0
1288,5
1289,8
1290,1
1291,5
1292,1
1293,8
1294,9
1295,7
1296,9
1297,5
1298,5
1299,1
1300,6
1301,2
1302,7
1303,4
1304,4
1305,6
1306,5
1307,5
1308,2
1309,7
1310,9
1311,2
1312,6
1313,3
1314,3
1315,1
1316,4
1317,9
1318,6
1319,1
1320,4
1321,0
1322,5
1323,4
1324,5
1325,2
1326,0
1327,2
1328,3
1329,4
1330,9
1331,8
1332,7
1333,2
1334,0
1335,1
1336,9
1337,0
1338,7
1339,7
1340,6
1341,7
1342,0
1343,5
1344,2
1345,6
1346,9
1347,6
1348,0
1349,6
1350,2
1351,0
1352,1
1353,3
1354,4
1355,1
1356,7
1357,8
1358,6
1359,7
1360,1
1361,9
1362,1
1363,6
1364,8
1365,6
1366,2
1367,8
1368,7
1369,0
1370,4
1371,0
1372,2
1373,2
1374,8
1375,3
1376,3
1377,5
1378,1
1379,6
1380,3
1381,7
1382,7
1383,4
1384,4
1385,4
1386,4
1387,0
1388,1
1389,5
1390,9
1391,3
1392,3
1393,4
1394,1
1395,2
1396,0
1397,3
1398,7
1399,4
1400,6
1401,3
1402,2
1403,3
1404,1
1405,9
1406,5
1407,2
1408,2
1409,2
1410,5
1411,1
1412,9
1413,4
1414,4
1415,8
1416,2
1417,5
1418,0
1419,8
1420,1
1421,5
1422,8
1423,7
1424,4
1425,1
1426,3
1427,0
1428,8
1429,3
1430,2
1431,3
1432,2
1433,8
1434,7
1435,9
1436,4
1437,2
1438,1
1439,9
1440,3
1441,5
1442,1
1443,7
1444,4
1445,8
1446,0
1447,1
1448,9
1449,9
1450,5
1451,3
1452,4
1453,5
1454,7
1455,3
1456,7
1457,5
1458,9
1459,6
1460,1
1461,1
1462,8
1463,6
1464,1
1465,3
1466,0
1467,9
1468,1
1469,0
1470,9
1471,1
1472,1
1473,7
1474,2
1475,6
1476,9
1477,4
1478,5
1479,3
1480,7
1481,6
1482,4
1483,1
1484,5
1485,2
1486,0
1487,6
1488,9
1489,8
1490,1
1491,3
1492,4
1493,5
1494,2
1495,3
1496,5
1497,8
1498,2
1499,6
1500,9
1501,5
1502,2
1503,5
1504,2
1505,9
1506,4
1507,0
1508,4
1509,4
1510,0
1511,5
1512,9
1513,8
1514,0
1515,6
1516,7
1517,0
1518,3
1519,2
1520,2
1521,2
1522,1
1523,5
1524,0
1525,1
1526,6
1527,6
1528,0
1529,1
1530,4
1531,1
1532,8
1533,4
1534,1
1535,8
1536,6
1537,9
1538,0
1539,9
1540,4
1541,9
1542,8
1543,6
1544,5
1545,2
1546,1
1547,2
1548,8
1549,4
1550,3
1551,5
1552,9
1553,0
1554,2
1555,0
1556,7
1557,1
1558,6
1559,7
1560,4
1561,1
1562,4
1563,4
1564,1
1565,3
1566,4
1567,3
1568,8
1569,0
1570,9
1571,5
1572,5
1573,3
1574,8
1575,8
1576,7
1577,5
1578,3
1579,2
1580,3
1581,0
1582,2
1583,2
1584,5
1585,7
1586,3
1587,8
1588,9
1589,9
1590,8
1591,1
1592,4
1593,7
1594,6
1595,6
1596,5
1597,7
1598,9
1599,5
1600,1
1601,3
1602,9
1603,1
1604,5
1605,4
1606,2
1607,5
1608,3
1609,4
1610,4
1611,1
1612,0
1613,3
1614,5
1615,3
1616,0
1617,4
1618,1
1619,1
1620,8
1621,3
1622,8
1623,4
1624,2
1625,6
1626,6
1627,5
1628,9
1629,9
1630,6
1631,1
1632,6
1633,0
1634,1
1635,2
1636,2
1637,4
1638,7
1639,8
1640,8
1641,9
1642,4
1643,3
1644,0
1645,5
1646,2
1647,8
1648,8
1649,2
1650,1
1651,4
1652,9
1653,3
1654,7
1655,2
1656,0
1657,1
1658,2
1659,4
1660,3
1661,1
1662,4
1663,1
1664,5
1665,1
1666,4
1667,4
1668,4
1669,8
1670,4
1671,3
1672,5
1673,3
1674,9
1675,8
1676,2
1677,1
1678,9
1679,3
1680,0
1681,1
1682,2
1683,9
1684,8
1685,5
1686,5
1687,8
1688,4
1689,6
1690,1
1691,1
1692,2
1693,6
1694,1
1695,8
1696,8
1697,5
1698,0
1699,1
1700,0
1701,4
1702,7
1703,2
1704,1
1705,9
1706,6
1707,3
1708,7
1709,5
1710,6
1711,2
1712,1
1713,2
1714,9
1715,1
1716,5
1717,8
1718,8
1719,9
1720,5
1721,8
1722,0
1723,5
1724,1
1725,7
1726,9
1727,9
1728,3
1729,7
1730,3
1731,6
1732,3
1733,4
1734,5
1735,4
1736,1
1737,2
1738,6
1739,5
1740,9
1741,5
1742,3
1743,0
1744,9
1745,4
1746,3
1747,4
1748,5
1749,9
1750,6
1751,1
1752,9
1753,7
1754,5
1755,3
1756,3
1757,8
1758,4
1759,4
1760,6
1761,3
1762,3
1763,2
1764,3
1765,0
1766,5
1767,6
1768,9
1769,9
1770,1
1771,2
1772,4
1773,8
1774,4
1775,2
1776,8
1777,6
1778,7
1779,1
1780,0
1781,7
1782,2
1783,4
1784,6
1785,2
1786,6
1787,6
1788,6
1789,4
1790,8
1791,1
1792,2
1793,4
1794,1
1795,9
1796,2
1797,4
1798,0
1799,1
1800,2
1801,3
1802,2
1803,3
1804,8
1805,4
1806,0
1807,5
1808,4
1809,3
1810,6
1811,2
1812,3
1813,1
1814,5
1815,2
1816,9
1817,9
1818,9
1819,5
1820,6
1821,3
1822,3
1823,4
1824,1
1825,4
1826,8
1827,2
1828,9
1829,0
1830,3
1831,0
1832,6
1833,9
1834,6
1835,6
1836,8
1837,2
1838,9
1839,3
1840,9
1841,3
1842,5
1843,0
1844,2
1845,2
1846,5
1847,0
1848,9
1849,6
1850,2
1851,4
1852,6
1853,0
1854,7
1855,4
1856,0
1857,5
1858,9
1859,3
1860,5
1861,4
1862,3
1863,9
1864,2
1865,0
1866,2
1867,7
1868,1
1869,6
1870,6
1871,5
1872,8
1873,9
1874,3
1875,4
1876,0
1877,1
1878,1
1879,1
1880,6
1881,6
1882,7
1883,5
1884,7
1885,6
1886,2
1887,5
1888,7
1889,7
1890,2
1891,3
1892,2
1893,5
1894,4
1895,9
1896,3
1897,4
1898,4
1899,3
1900,4
1901,1
1902,6
1903,2
1904,1
1905,3
1906,7
1907,1
1908,9
1909,7
1910,0
1911,4
1912,7
1913,2
1914,9
1915,3
1916,9
1917,5
1918,1
1919,1
1920,7
1921,6
1922,6
1923,3
1924,3
1925,6
1926,8
1927,2
1928,6
1929,1
1930,7
1931,2
1932,7
1933,2
1934,1
1935,7
1936,4
1937,9
1938,6
1939,7
1940,3
1941,2
1942,6
1943,2
1944,3
1945,1
1946,3
1947,7
1948,4
1949,6
1950,0
1951,2
1952,9
1953,0
1954,9
1955,4
1956,5
1957,5
1958,0
1959,5
1960,8
1961,1
1962,5
1963,6
1964,8
1965,4
1966,2
1967,7
1968,1
1969,0
1970,5
1971,0
1972,2
1973,2
1974,5
1975,6
1976,4
1977,9
1978,6
1979,1
1980,0
1981,2
1982,3
1983,5
1984,6
1985,1
1986,8
1987,0
1988,6
1989,9
1990,9
1991,7
1992,3
1993,1
1994,3
1995,3
1996,2
1997,6
1998,0
1999,7
